g1.t1	ENSP00000497018.1
g12192.t1	ENSP00000400252.2
g12193.t1	ENSP00000506494.1
g12194.t1	ENSP00000331465.7
g12195.t1	ENSP00000303147.3
g12196.t1	ENSP00000011619.3
g12198.t1	ENSP00000437236.1
g122.t1	ENSP00000497569.1
g12200.t1	ENSP00000497328.1
g12201.t1	ENSP00000465678.1
g12203.t1	ENSP00000302895.4
g12205.t1	ENSP00000264230.4
g12207.t1	ENSP00000417923.1
g12209.t1	ENSP00000295777.5
g12211.t1	ENSP00000306080.4
g12212.t1	ENSP00000412763.3
g12213.t1	ENSP00000431956.2
g12214.t1	ENSP00000379969.3
g12215.t1	ENSP00000306983.5
g12216.t1	ENSP00000507034.1
g12217.t1	ENSP00000295839.9
g12218.t1	ENSP00000384259.3
g12219.t1	ENSP00000263160.3
g12220.t1	ENSP00000351333.4
g12222.t1	ENSP00000442665.1
g12223.t1	ENSP00000355958.4
g12224.t1	ENSP00000496789.1
g12226.t1	ENSP00000357053.1
g12227.t1	ENSP00000222284.4
g12228.t1	ENSP00000479031.1
g12231.t1	ENSP00000223324.2
g12238.t1	ENSP00000343896.4
g12239.t1	ENSP00000423667.1
g12240.t1	ENSP00000292591.7
g12241.t1	ENSP00000305892.9
g12243.t1	ENSP00000257262.8
g12244.t1	ENSP00000251968.3
g12245.t1	ENSP00000334538.6
g12247.t1	ENSP00000494563.1
g12248.t1	ENSP00000428099.1
g12249.t1	ENSP00000436706.1
g12250.t1	ENSP00000413855.3
g12252.t1	ENSP00000459978.1
g12253.t1	ENSP00000369820.3
g12254.t1	ENSP00000387170.3
g12255.t1	ENSP00000299424.4
g12256.t1	ENSP00000255390.5
g12257.t1	ENSP00000358223.2
g12258.t1	ENSP00000383900.1
g1226.t1	ENSP00000513886.1
g12260.t1	ENSP00000465759.2
g12261.t1	ENSP00000278616.4
g12262.t1	ENSP00000337746.7
g12263.t1	ENSP00000360905.1
g12265.t1	ENSP00000343054.3
g12266.t1	ENSP00000377360.2
g12267.t1	ENSP00000490836.2
g12271.t1	ENSP00000335029.7
g12276.t1	ENSP00000296220.5
g12278.t1	ENSP00000475143.1
g12279.t1	ENSP00000372335.4
g1228.t1	ENSP00000513890.1
g12280.t1	ENSP00000298510.2
g12281.t1	ENSP00000350549.4
g12283.t1	ENSP00000219611.2
g12284.t1	ENSP00000512029.1
g12285.t1	ENSP00000430384.1
g12286.t1	ENSP00000219473.7
g12287.t1	ENSP00000332973.4
g1229.t1	ENSP00000381475.2
g12292.t1	ENSP00000281394.4
g12293.t1	ENSP00000452007.1
g12294.t1	ENSP00000264690.6
g12295.t1	ENSP00000480470.1
g12296.t1	ENSP00000365159.4
g12297.t1	ENSP00000385812.1
g12298.t1	ENSP00000454836.1
g123.t1	ENSP00000469468.2
g1230.t1	ENSP00000489905.1
g12301.t1	ENSP00000359376.4
g12302.t1	ENSP00000245206.5
g12303.t1	ENSP00000263202.9
g12305.t1	ENSP00000447058.1
g12306.t1	ENSP00000311360.2
g12307.t1	ENSP00000361725.4
g12308.t1	ENSP00000241891.5
g1231.t1	ENSP00000263187.3
g12310.t1	ENSP00000492059.2
g12311.t1	ENSP00000260803.4
g12312.t1	ENSP00000458290.1
g12313.t1	ENSP00000363621.3
g12314.t1	ENSP00000261386.3
g12315.t1	ENSP00000506257.1
g12316.t1	ENSP00000369162.2
g12317.t1	ENSP00000451974.1
g12318.t1	ENSP00000007264.2
g12319.t1	ENSP00000283195.6
g1232.t1	ENSP00000444524.2
g12321.t1	ENSP00000501213.1
g12322.t1	ENSP00000486499.2
g12328.t1	ENSP00000348878.4
g12329.t1	ENSP00000432472.1
g1233.t1	ENSP00000374387.4
g12331.t1	ENSP00000490678.1
g12333.t1	ENSP00000499466.1
g12336.t1	ENSP00000430904.1
g12337.t1	ENSP00000258052.3
g12338.t1	ENSP00000336923.3
g1234.t1	ENSP00000357417.1
g12341.t1	ENSP00000221086.3
g12342.t1	ENSP00000479197.1
g12343.t1	ENSP00000379888.3
g12344.t1	ENSP00000452521.1
g12345.t1	ENSP00000426366.1
g12346.t1	ENSP00000338990.4
g12347.t1	ENSP00000382327.3
g12348.t1	ENSP00000362153.3
g1235.t1	ENSP00000362090.1
g12351.t1	ENSP00000473395.1
g12352.t1	ENSP00000253251.8
g12353.t1	ENSP00000446918.1
g12354.t1	ENSP00000366006.5
g12356.t1	ENSP00000375731.4
g12357.t1	ENSP00000328992.4
g12359.t1	ENSP00000363250.3
g1236.t1	ENSP00000264606.3
g12360.t1	ENSP00000231526.4
g12363.t1	ENSP00000446807.1
g12364.t1	ENSP00000379931.1
g12366.t1	ENSP00000448056.1
g12367.t1	ENSP00000455995.1
g12368.t1	ENSP00000394165.1
g12369.t1	ENSP00000261369.4
g1237.t1	ENSP00000317159.4
g12370.t1	ENSP00000377311.5
g12371.t1	ENSP00000348753.4
g12372.t1	ENSP00000430294.1
g12373.t1	ENSP00000365493.2
g12374.t1	ENSP00000478145.1
g12375.t1	ENSP00000355480.1
g12376.t1	ENSP00000221418.3
g12379.t1	ENSP00000406901.1
g12380.t1	ENSP00000422748.1
g12382.t1	ENSP00000469090.1
g12383.t1	ENSP00000383611.3
g12384.t1	ENSP00000444583.1
g12387.t1	ENSP00000410159.2
g12388.t1	ENSP00000357215.5
g12389.t1	ENSP00000376456.2
g1239.t1	ENSP00000417603.2
g12390.t1	ENSP00000325369.7
g12391.t1	ENSP00000287957.3
g12392.t1	ENSP00000381271.4
g124.t1	ENSP00000399542.1
g12400.t1	ENSP00000433653.1
g12402.t1	ENSP00000349213.4
g12403.t1	ENSP00000457015.1
g12404.t1	ENSP00000488642.1
g12406.t1	ENSP00000295589.3
g12407.t1	ENSP00000393888.1
g12408.t1	ENSP00000393888.1
g12409.t1	ENSP00000460245.1
g12410.t1	ENSP00000436619.1
g12411.t1	ENSP00000272065.5
g12412.t1	ENSP00000272065.5
g12413.t1	ENSP00000466962.1
g12414.t1	ENSP00000417960.2
g12415.t1	ENSP00000367992.3
g12416.t1	ENSP00000325421.5
g12417.t1	ENSP00000363524.3
g12419.t1	ENSP00000498621.1
g1242.t1	ENSP00000243077.3
g12420.t1	ENSP00000370678.3
g12421.t1	ENSP00000262525.4
g12423.t1	ENSP00000311165.4
g12424.t1	ENSP00000393121.3
g12425.t1	ENSP00000304360.7
g12426.t1	ENSP00000381963.2
g12427.t1	ENSP00000420331.1
g1243.t1	ENSP00000322439.3
g12430.t1	ENSP00000384534.3
g12433.t1	ENSP00000295704.2
g12434.t1	ENSP00000396167.2
g12435.t1	ENSP00000433302.1
g12436.t1	ENSP00000240333.8
g12437.t1	ENSP00000272902.5
g12439.t1	ENSP00000346874.3
g1244.t1	ENSP00000376176.2
g12440.t1	ENSP00000515114.2
g12442.t1	ENSP00000361507.4
g12443.t1	ENSP00000286788.4
g12444.t1	ENSP00000402003.1
g12445.t1	ENSP00000397261.2
g12446.t1	ENSP00000222969.5
g12449.t1	ENSP00000358718.3
g1245.t1	ENSP00000222812.3
g12450.t1	ENSP00000402544.1
g12451.t1	ENSP00000462543.1
g12452.t1	ENSP00000516370.1
g12454.t1	ENSP00000512182.1
g12455.t1	ENSP00000225174.3
g12456.t1	ENSP00000341550.3
g12458.t1	ENSP00000348564.3
g12459.t1	ENSP00000504279.1
g12461.t1	ENSP00000490149.1
g12463.t1	ENSP00000499052.1
g12465.t1	ENSP00000277632.3
g12466.t1	ENSP00000367934.1
g12468.t1	ENSP00000495312.1
g12469.t1	ENSP00000276651.2
g1247.t1	ENSP00000419782.1
g12470.t1	ENSP00000492254.1
g12472.t1	ENSP00000273962.3
g12474.t1	ENSP00000263736.4
g12475.t1	ENSP00000379047.2
g12476.t1	ENSP00000308067.7
g1248.t1	ENSP00000319918.6
g12482.t1	ENSP00000355893.4
g12483.t1	ENSP00000437631.1
g12485.t1	ENSP00000318085.3
g12486.t1	ENSP00000313818.7
g12487.t1	ENSP00000449795.1
g12488.t1	ENSP00000389948.2
g12489.t1	ENSP00000512330.1
g1249.t1	ENSP00000348019.5
g12490.t1	ENSP00000512328.1
g12492.t1	ENSP00000512729.1
g12494.t1	ENSP00000233099.5
g12495.t1	ENSP00000505406.1
g12496.t1	ENSP00000324856.6
g12497.t1	ENSP00000450639.1
g12498.t1	ENSP00000364449.1
g12499.t1	ENSP00000356562.4
g12500.t1	ENSP00000343041.6
g12504.t1	ENSP00000306598.6
g12506.t1	ENSP00000261731.2
g12507.t1	ENSP00000266263.5
g12508.t1	ENSP00000225609.5
g12509.t1	ENSP00000419904.1
g1251.t1	ENSP00000300087.2
g12510.t1	ENSP00000301037.5
g12511.t1	ENSP00000229379.2
g12514.t1	ENSP00000261318.3
g12516.t1	ENSP00000383231.1
g12517.t1	ENSP00000404318.2
g12518.t1	ENSP00000497868.2
g12519.t1	ENSP00000361151.6
g1252.t1	ENSP00000412159.1
g12520.t1	ENSP00000341990.5
g12522.t1	ENSP00000481741.1
g12523.t1	ENSP00000322832.6
g12524.t1	ENSP00000348019.5
g12525.t1	ENSP00000295746.7
g12526.t1	ENSP00000447053.1
g12528.t1	ENSP00000362895.5
g12529.t1	ENSP00000330343.7
g1253.t1	ENSP00000347182.2
g12530.t1	ENSP00000358151.2
g12531.t1	ENSP00000403145.1
g12532.t1	ENSP00000481343.1
g12533.t1	ENSP00000318520.4
g12534.t1	ENSP00000304710.5
g12535.t1	ENSP00000510711.1
g12536.t1	ENSP00000318423.8
g12537.t1	ENSP00000355237.2
g12538.t1	ENSP00000223136.4
g12539.t1	ENSP00000413143.2
g1254.t1	ENSP00000277865.4
g12540.t1	ENSP00000443510.1
g12543.t1	ENSP00000368075.5
g12544.t1	ENSP00000329466.6
g12545.t1	ENSP00000461928.2
g12546.t1	ENSP00000253039.4
g12547.t1	ENSP00000355607.4
g12548.t1	ENSP00000234179.2
g12549.t1	ENSP00000355890.3
g1255.t1	ENSP00000315569.7
g12550.t1	ENSP00000288937.6
g12551.t1	ENSP00000269980.2
g12552.t1	ENSP00000220496.4
g12553.t1	ENSP00000234677.2
g12554.t1	ENSP00000347592.3
g12555.t1	ENSP00000341344.4
g12556.t1	ENSP00000455046.1
g12557.t1	ENSP00000364035.4
g12558.t1	ENSP00000358992.1
g12559.t1	ENSP00000347244.4
g1256.t1	ENSP00000425930.1
g12560.t1	ENSP00000339260.4
g12561.t1	ENSP00000509641.1
g12564.t1	ENSP00000508960.1
g12565.t1	ENSP00000268802.5
g12566.t1	ENSP00000484334.1
g12567.t1	ENSP00000484334.1
g12568.t1	ENSP00000354560.2
g12569.t1	ENSP00000326219.5
g1257.t1	ENSP00000442336.2
g12572.t1	ENSP00000419879.1
g12573.t1	ENSP00000411099.2
g12574.t1	ENSP00000428113.1
g12576.t1	ENSP00000354676.4
g12577.t1	ENSP00000496407.1
g12578.t1	ENSP00000477484.2
g12579.t1	ENSP00000220509.5
g1258.t1	ENSP00000412260.2
g12580.t1	ENSP00000380918.1
g12583.t1	ENSP00000328236.6
g12584.t1	ENSP00000284061.3
g12588.t1	ENSP00000475924.2
g12589.t1	ENSP00000261714.6
g1259.t1	ENSP00000499665.1
g12593.t1	ENSP00000355343.2
g12594.t1	ENSP00000472267.1
g12597.t1	ENSP00000471662.1
g12599.t1	ENSP00000515137.1
g1260.t1	ENSP00000414853.1
g12600.t1	ENSP00000301729.4
g12601.t1	ENSP00000326870.8
g12602.t1	ENSP00000368818.3
g12604.t1	ENSP00000305138.4
g12607.t1	ENSP00000285071.4
g12608.t1	ENSP00000514057.1
g1261.t1	ENSP00000414853.1
g12611.t1	ENSP00000403222.1
g12612.t1	ENSP00000419599.1
g12613.t1	ENSP00000358320.1
g12616.t1	ENSP00000393776.2
g12617.t1	ENSP00000316881.5
g12618.t1	ENSP00000251472.3
g12619.t1	ENSP00000404865.1
g12621.t1	ENSP00000377959.1
g12622.t1	ENSP00000266673.5
g12623.t1	ENSP00000443139.1
g12631.t1	ENSP00000287820.6
g12632.t1	ENSP00000365388.5
g12634.t1	ENSP00000476119.1
g12635.t1	ENSP00000253237.4
g12636.t1	ENSP00000514621.1
g12637.t1	ENSP00000335246.6
g12639.t1	ENSP00000497120.1
g1264.t1	ENSP00000362469.3
g12640.t1	ENSP00000482721.1
g12641.t1	ENSP00000417573.1
g12642.t1	ENSP00000255784.5
g12644.t1	ENSP00000462218.2
g12645.t1	ENSP00000226840.4
g12646.t1	ENSP00000431160.1
g12648.t1	ENSP00000435777.1
g12649.t1	ENSP00000513705.1
g12650.t1	ENSP00000378234.3
g12651.t1	ENSP00000338857.5
g12653.t1	ENSP00000250237.4
g12654.t1	ENSP00000348933.4
g12655.t1	ENSP00000360821.3
g12656.t1	ENSP00000481724.1
g12658.t1	ENSP00000473290.1
g12659.t1	ENSP00000323879.4
g1266.t1	ENSP00000356630.2
g12660.t1	ENSP00000339371.2
g12661.t1	ENSP00000357218.3
g12663.t1	ENSP00000376988.1
g12664.t1	ENSP00000347719.4
g12665.t1	ENSP00000429870.1
g12666.t1	ENSP00000371798.3
g12667.t1	ENSP00000337445.4
g12669.t1	ENSP00000432279.1
g1267.t1	ENSP00000308720.7
g12670.t1	ENSP00000515074.1
g12671.t1	ENSP00000484289.1
g12672.t1	ENSP00000325868.5
g12673.t1	ENSP00000293971.6
g12674.t1	ENSP00000498048.1
g12676.t1	ENSP00000482617.1
g12677.t1	ENSP00000378364.3
g12678.t1	ENSP00000323036.8
g12679.t1	ENSP00000401591.2
g12681.t1	ENSP00000455426.1
g12683.t1	ENSP00000343118.5
g12684.t1	ENSP00000245255.3
g12685.t1	ENSP00000299192.7
g12687.t1	ENSP00000261884.3
g12689.t1	ENSP00000220531.4
g12690.t1	ENSP00000339613.5
g12691.t1	ENSP00000445532.1
g12692.t1	ENSP00000267102.8
g127.t1	ENSP00000373876.3
g1270.t1	ENSP00000367595.2
g12701.t1	ENSP00000332433.3
g12703.t1	ENSP00000310688.3
g12704.t1	ENSP00000437402.1
g12705.t1	ENSP00000216807.6
g12706.t1	ENSP00000387078.3
g12707.t1	ENSP00000512320.1
g12708.t1	ENSP00000386836.1
g12709.t1	ENSP00000263160.3
g1271.t1	ENSP00000223122.2
g12710.t1	ENSP00000256797.5
g12711.t1	ENSP00000462230.1
g12712.t1	ENSP00000315731.6
g12716.t1	ENSP00000477740.2
g12717.t1	ENSP00000300688.3
g12718.t1	ENSP00000040877.1
g12719.t1	ENSP00000231198.7
g1272.t1	ENSP00000502432.1
g12721.t1	ENSP00000460348.1
g12722.t1	ENSP00000225577.4
g12723.t1	ENSP00000339723.3
g12726.t1	ENSP00000354850.3
g12729.t1	ENSP00000489255.1
g1273.t1	ENSP00000391521.2
g12732.t1	ENSP00000238789.5
g12733.t1	ENSP00000256443.3
g12734.t1	ENSP00000357475.4
g12735.t1	ENSP00000342580.5
g12736.t1	ENSP00000385217.1
g12737.t1	ENSP00000476945.1
g12738.t1	ENSP00000359539.5
g1274.t1	ENSP00000265462.4
g12742.t1	ENSP00000175506.4
g12743.t1	ENSP00000356848.4
g12744.t1	ENSP00000361831.1
g12745.t1	ENSP00000297135.4
g12746.t1	ENSP00000284629.2
g12747.t1	ENSP00000311925.4
g12749.t1	ENSP00000515825.1
g1275.t1	ENSP00000421470.1
g12750.t1	ENSP00000366418.1
g12752.t1	ENSP00000366135.4
g12753.t1	ENSP00000318921.7
g12754.t1	ENSP00000416330.2
g12755.t1	ENSP00000409952.2
g12756.t1	ENSP00000260731.3
g12757.t1	ENSP00000505459.1
g12759.t1	ENSP00000339521.5
g1276.t1	ENSP00000166345.3
g12761.t1	ENSP00000424870.1
g12764.t1	ENSP00000347445.4
g12766.t1	ENSP00000230658.7
g12767.t1	ENSP00000251775.4
g1277.t1	ENSP00000511989.1
g12772.t1	ENSP00000357535.3
g12773.t1	ENSP00000344666.5
g12774.t1	ENSP00000466894.2
g12775.t1	ENSP00000393471.1
g12776.t1	ENSP00000344831.5
g12777.t1	ENSP00000254260.2
g12778.t1	ENSP00000429791.1
g12779.t1	ENSP00000254260.2
g1278.t1	ENSP00000376733.2
g12780.t1	ENSP00000428268.2
g12781.t1	ENSP00000298854.2
g12782.t1	ENSP00000250003.3
g12783.t1	ENSP00000492726.1
g12784.t1	ENSP00000221455.3
g12787.t1	ENSP00000391358.1
g12788.t1	ENSP00000371607.3
g12789.t1	ENSP00000505176.1
g1279.t1	ENSP00000495205.1
g12790.t1	ENSP00000362548.2
g12791.t1	ENSP00000364754.3
g12795.t1	ENSP00000360782.3
g12796.t1	ENSP00000359345.2
g128.t1	ENSP00000500601.1
g12802.t1	ENSP00000359380.2
g12803.t1	ENSP00000359380.2
g12804.t1	ENSP00000359380.2
g12806.t1	ENSP00000414558.2
g12807.t1	ENSP00000454101.1
g12808.t1	ENSP00000417901.1
g1281.t1	ENSP00000419804.1
g12810.t1	ENSP00000351380.5
g12812.t1	ENSP00000296526.7
g12813.t1	ENSP00000337632.3
g12814.t1	ENSP00000356982.5
g12815.t1	ENSP00000340944.3
g12816.t1	ENSP00000375749.3
g12817.t1	ENSP00000262096.8
g12818.t1	ENSP00000264380.4
g12819.t1	ENSP00000331298.6
g12820.t1	ENSP00000218006.2
g12821.t1	ENSP00000358811.1
g12822.t1	ENSP00000512625.1
g12825.t1	ENSP00000311951.6
g12826.t1	ENSP00000268717.5
g12827.t1	ENSP00000354387.4
g12829.t1	ENSP00000326534.5
g12830.t1	ENSP00000298097.7
g12833.t1	ENSP00000229379.2
g12835.t1	ENSP00000243918.5
g12836.t1	ENSP00000274137.6
g12837.t1	ENSP00000346037.5
g12838.t1	ENSP00000487068.1
g12839.t1	ENSP00000370680.4
g1284.t1	ENSP00000394976.1
g12840.t1	ENSP00000362361.4
g12842.t1	ENSP00000323858.7
g12843.t1	ENSP00000377640.3
g12844.t1	ENSP00000493784.1
g12845.t1	ENSP00000386370.1
g12846.t1	ENSP00000364582.3
g12848.t1	ENSP00000349415.7
g12849.t1	ENSP00000276826.5
g12850.t1	ENSP00000350386.2
g12851.t1	ENSP00000263578.5
g12852.t1	ENSP00000478235.1
g12853.t1	ENSP00000360660.4
g12854.t1	ENSP00000365686.4
g12855.t1	ENSP00000439462.2
g12858.t1	ENSP00000382204.2
g12860.t1	ENSP00000356702.1
g12861.t1	ENSP00000285968.6
g12862.t1	ENSP00000497336.1
g12865.t1	ENSP00000452781.2
g12868.t1	ENSP00000357047.3
g12869.t1	ENSP00000429084.1
g12871.t1	ENSP00000443965.2
g12872.t1	ENSP00000287239.4
g12873.t1	ENSP00000350401.3
g12874.t1	ENSP00000368823.3
g12875.t1	ENSP00000299300.6
g12876.t1	ENSP00000356218.4
g12878.t1	ENSP00000318775.3
g1288.t1	ENSP00000399080.2
g12882.t1	ENSP00000489193.1
g12883.t1	ENSP00000359364.3
g12884.t1	ENSP00000490256.1
g12885.t1	ENSP00000272542.3
g12886.t1	ENSP00000287022.5
g12887.t1	ENSP00000484196.2
g12888.t1	ENSP00000484196.2
g1289.t1	ENSP00000303423.3
g12897.t1	ENSP00000407845.1
g12898.t1	ENSP00000257700.2
g12899.t1	ENSP00000451976.1
g129.t1	ENSP00000514741.1
g1290.t1	ENSP00000297185.3
g12900.t1	ENSP00000451492.1
g12901.t1	ENSP00000404632.2
g12902.t1	ENSP00000346537.5
g12906.t1	ENSP00000404515.1
g12907.t1	ENSP00000485809.1
g12908.t1	ENSP00000285243.6
g12909.t1	ENSP00000460871.1
g1291.t1	ENSP00000225275.3
g12910.t1	ENSP00000318142.6
g12911.t1	ENSP00000306070.5
g12912.t1	ENSP00000219548.4
g12913.t1	ENSP00000346809.3
g12917.t1	ENSP00000362070.4
g12918.t1	ENSP00000363827.3
g1292.t1	ENSP00000315379.6
g12921.t1	ENSP00000432046.3
g12922.t1	ENSP00000372351.3
g12923.t1	ENSP00000360960.2
g12925.t1	ENSP00000494137.1
g12927.t1	ENSP00000380821.1
g12928.t1	ENSP00000342105.4
g12929.t1	ENSP00000288680.4
g12930.t1	ENSP00000263847.1
g12931.t1	ENSP00000461762.1
g12933.t1	ENSP00000327070.5
g12934.t1	ENSP00000445162.1
g12935.t1	ENSP00000452037.1
g12936.t1	ENSP00000227322.3
g12937.t1	ENSP00000417963.1
g12940.t1	ENSP00000376855.2
g12941.t1	ENSP00000503161.1
g12942.t1	ENSP00000331111.5
g12943.t1	ENSP00000310332.6
g12944.t1	ENSP00000361138.2
g12945.t1	ENSP00000300145.3
g12948.t1	ENSP00000456090.1
g12949.t1	ENSP00000402338.2
g1295.t1	ENSP00000282574.4
g12950.t1	ENSP00000257347.4
g12952.t1	ENSP00000261868.5
g12954.t1	ENSP00000359042.4
g12955.t1	ENSP00000385777.1
g12956.t1	ENSP00000371236.4
g12957.t1	ENSP00000371236.4
g12958.t1	ENSP00000385777.1
g12959.t1	ENSP00000359042.4
g12964.t1	ENSP00000467996.1
g12966.t1	ENSP00000432149.1
g12968.t1	ENSP00000318196.6
g12969.t1	ENSP00000346339.1
g1297.t1	ENSP00000406998.2
g12970.t1	ENSP00000295868.2
g12971.t1	ENSP00000471340.1
g12972.t1	ENSP00000359581.4
g12973.t1	ENSP00000483489.1
g12974.t1	ENSP00000375993.2
g12975.t1	ENSP00000295117.4
g12976.t1	ENSP00000287585.6
g12977.t1	ENSP00000257181.8
g12978.t1	ENSP00000399613.2
g12979.t1	ENSP00000498697.2
g1298.t1	ENSP00000378349.3
g12980.t1	ENSP00000254719.4
g12981.t1	ENSP00000225698.4
g12982.t1	ENSP00000319781.6
g12983.t1	ENSP00000399402.2
g12984.t1	ENSP00000489596.1
g12985.t1	ENSP00000399447.2
g12986.t1	ENSP00000326391.2
g12987.t1	ENSP00000501368.1
g12988.t1	ENSP00000297293.5
g12989.t1	ENSP00000459542.1
g1299.t1	ENSP00000219252.4
g12990.t1	ENSP00000229281.5
g12991.t1	ENSP00000347626.6
g12993.t1	ENSP00000290649.5
g12994.t1	ENSP00000250498.4
g12995.t1	ENSP00000433406.1
g12998.t1	ENSP00000428878.1
g12999.t1	ENSP00000263774.4
g13.t1	ENSP00000471778.1
g1300.t1	ENSP00000354720.5
g13001.t1	ENSP00000356482.4
g13002.t1	ENSP00000438349.2
g13006.t1	ENSP00000497083.1
g13007.t1	ENSP00000434809.2
g13008.t1	ENSP00000385218.2
g13009.t1	ENSP00000289359.2
g1301.t1	ENSP00000263672.6
g13011.t1	ENSP00000261708.4
g13012.t1	ENSP00000207457.3
g13013.t1	ENSP00000449207.1
g13015.t1	ENSP00000434243.1
g13018.t1	ENSP00000215539.3
g13019.t1	ENSP00000419339.1
g1302.t1	ENSP00000302993.6
g13020.t1	ENSP00000389060.1
g13021.t1	ENSP00000275162.4
g13022.t1	ENSP00000254260.2
g13023.t1	ENSP00000315674.6
g13024.t1	ENSP00000483030.1
g13028.t1	ENSP00000412365.2
g13033.t1	ENSP00000359380.2
g13040.t1	ENSP00000385347.2
g13041.t1	ENSP00000311951.6
g13042.t1	ENSP00000367922.5
g13043.t1	ENSP00000267750.4
g13046.t1	ENSP00000211998.5
g13047.t1	ENSP00000422338.1
g13048.t1	ENSP00000316596.3
g13049.t1	ENSP00000360125.3
g1305.t1	ENSP00000318884.9
g13051.t1	ENSP00000324222.7
g13052.t1	ENSP00000473469.1
g13053.t1	ENSP00000355929.3
g13054.t1	ENSP00000391437.3
g13055.t1	ENSP00000445008.2
g13059.t1	ENSP00000317296.10
g1306.t1	ENSP00000501425.1
g13061.t1	ENSP00000261249.6
g13062.t1	ENSP00000368589.3
g13063.t1	ENSP00000360777.3
g13064.t1	ENSP00000375960.2
g13065.t1	ENSP00000365803.2
g13069.t1	ENSP00000480756.1
g1307.t1	ENSP00000485357.2
g13070.t1	ENSP00000253003.2
g1308.t1	ENSP00000368884.3
g13080.t1	ENSP00000461930.1
g13081.t1	ENSP00000499983.1
g13082.t1	ENSP00000418346.1
g13083.t1	ENSP00000357452.3
g13084.t1	ENSP00000373715.2
g13085.t1	ENSP00000216117.8
g13087.t1	ENSP00000391671.2
g13088.t1	ENSP00000265965.5
g13089.t1	ENSP00000378350.2
g1309.t1	ENSP00000452307.1
g13091.t1	ENSP00000340505.4
g13094.t1	ENSP00000447391.1
g13095.t1	ENSP00000488468.1
g13096.t1	ENSP00000295688.3
g13097.t1	ENSP00000472988.1
g1310.t1	ENSP00000329915.3
g13101.t1	ENSP00000400252.2
g13102.t1	ENSP00000400252.2
g13103.t1	ENSP00000463138.1
g13104.t1	ENSP00000228495.6
g13105.t1	ENSP00000256196.4
g13106.t1	ENSP00000378756.1
g13108.t1	ENSP00000300935.2
g1311.t1	ENSP00000339883.2
g13110.t1	ENSP00000515532.1
g13111.t1	ENSP00000489819.1
g13115.t1	ENSP00000264028.4
g13116.t1	ENSP00000384572.3
g13117.t1	ENSP00000358549.5
g1312.t1	ENSP00000291560.2
g13121.t1	ENSP00000435134.1
g13123.t1	ENSP00000297508.7
g13125.t1	ENSP00000507546.1
g13129.t1	ENSP00000311827.2
g13130.t1	ENSP00000418563.1
g13131.t1	ENSP00000364595.4
g13132.t1	ENSP00000365891.4
g13133.t1	ENSP00000445201.3
g13134.t1	ENSP00000249269.4
g13135.t1	ENSP00000308369.2
g13136.t1	ENSP00000400467.2
g13137.t1	ENSP00000462154.4
g13138.t1	ENSP00000326063.5
g13139.t1	ENSP00000493496.1
g1314.t1	ENSP00000360855.4
g13140.t1	ENSP00000445345.1
g13141.t1	ENSP00000261167.2
g13143.t1	ENSP00000392087.1
g13144.t1	ENSP00000377406.1
g13146.t1	ENSP00000429064.1
g13148.t1	ENSP00000384008.3
g1315.t1	ENSP00000360855.4
g13150.t1	ENSP00000333298.4
g13151.t1	ENSP00000313309.4
g13152.t1	ENSP00000501373.1
g13153.t1	ENSP00000281828.6
g13154.t1	ENSP00000427151.2
g13155.t1	ENSP00000212015.6
g13156.t1	ENSP00000464522.3
g13157.t1	ENSP00000359380.2
g13158.t1	ENSP00000359380.2
g13161.t1	ENSP00000495563.1
g13162.t1	ENSP00000476632.1
g13163.t1	ENSP00000243878.4
g13164.t1	ENSP00000416658.1
g13165.t1	ENSP00000416658.1
g13166.t1	ENSP00000243878.4
g13168.t1	ENSP00000386246.1
g13169.t1	ENSP00000230050.3
g13170.t1	ENSP00000231749.3
g13171.t1	ENSP00000445004.2
g13172.t1	ENSP00000328203.2
g13174.t1	ENSP00000497574.1
g13175.t1	ENSP00000369383.1
g13176.t1	ENSP00000359735.1
g1318.t1	ENSP00000330730.3
g13180.t1	ENSP00000484289.1
g13184.t1	ENSP00000345580.5
g13185.t1	ENSP00000411593.2
g13187.t1	ENSP00000011619.3
g13188.t1	ENSP00000446807.1
g13189.t1	ENSP00000292566.3
g1319.t1	ENSP00000314518.6
g13190.t1	ENSP00000486713.1
g13194.t1	ENSP00000285928.2
g13195.t1	ENSP00000364035.4
g13199.t1	ENSP00000296702.5
g1320.t1	ENSP00000270625.1
g13200.t1	ENSP00000297596.2
g13201.t1	ENSP00000452037.1
g13202.t1	ENSP00000324510.5
g13205.t1	ENSP00000295685.10
g13206.t1	ENSP00000386455.3
g13207.t1	ENSP00000371818.3
g13209.t1	ENSP00000389811.1
g1321.t1	ENSP00000443657.2
g13210.t1	ENSP00000353945.2
g13211.t1	ENSP00000391121.2
g13212.t1	ENSP00000385927.3
g13214.t1	ENSP00000386546.3
g13217.t1	ENSP00000512474.1
g13218.t1	ENSP00000292782.4
g13219.t1	ENSP00000365233.4
g1322.t1	ENSP00000316598.5
g1323.t1	ENSP00000507976.1
g1327.t1	ENSP00000360532.3
g1328.t1	ENSP00000313420.3
g1329.t1	ENSP00000365773.3
g1330.t1	ENSP00000493549.1
g1331.t1	ENSP00000354518.3
g1333.t1	ENSP00000496583.2
g1334.t1	ENSP00000507345.1
g1339.t1	ENSP00000470478.3
g1340.t1	ENSP00000362590.3
