Gene name	NCBI gene (formerly Entrezgene) ID
LINC01103	101927360
PSAT1P2	
	101927948
RNA5SP382	
SLC25A53P1	
KLHL33	123103
DPPA3P1	
LIMK2P1	
LAMA3	3909
LINC01813	
SLC9A2	6549
BNIP3P27	
VN1R78P	
OSGEP	55644
HSPA5P1	
MSL3	10943
BNIP3P15	
	124904027
BNIP3P17	
PSMB2	5690
BNIP3P13	
ZNF257	113835
MOV10L1	54456
ANXA2P3	
LINC01435	103695365
ZNF492	57615
RPL31	6160
HMGN1P17	
LINC01339	
	105372316
CASP9	842
CTNNA1-AS1	105379194
KLHL26	55295
ATG10-AS1	
RBBP4P6	
HMGCS1	3157
PKD2L1	9033
IGBP1P5	
DDX3P3	
APEX1	328
SLC35E1	79939
GPAT3	84803
LINC02098	
SRSF1P1	
RPS26P47	
BRD7P5	
LINC00410	144776
PCDH17	27253
FDX1	2230
SP3P	
RPL21P110	
LINC00440	
RPS12P24	
LINC01050	
USP12	219333
TRIM29	23650
BHLHE22	27319
HLCS	3141
MAL2	114569
HIGD1AP2	
TXNL1P1	
BNIP3P28	
TMEM131	23505
MAP1B	4131
HNRNPA1P31	
TMEM161A	54929
LINC00446	
HNRNPA1P56	
	124900474
	124900475
NDUFB9P3	
KCNE1	3753
KCNB2	9312
LINC02624	
BTF3P12	
THAP6	152815
	107984270
FAM91A1	157769
WBP4	11193
PPIAP39	
TMEM26	219623
DDI2	84301
COL6A1	1291
CCNY	219771
UQCRH	7388
LINC02342	
LINC00560	100861553
SERTM1	400120
LINC01216	100874275
ELOCP23	
	100288208
CISD2	493856
MTND5P3	
SOX21	11166
MIR3659HG	
SLC7A1	6541
RPS29P6	
SELENOWP1	
MTND5P5	
C2orf49	79074
H2AZ1	3015
GPR199P	653160
LINC02224	
TH2LCRR	101927761
THRAP3	9967
TMCC1P1	
	729732
WBP1P2	
RPL38P2	
ALG1L3P	
ESM1	11082
MRPL1	65008
RNF149	284996
C1GALT1P3	
LINCADL	107986443
LAMTOR3P2	
SLA	6503
COQ10BP2	
SLC15A1	6564
PSD2-AS1	
LINC01950	102467213
LINC01332	
RAC1P9	
SOCS5P1	
PRELID3BP8	
ACTBP4	
LINC01170	
CCL28	56477
ASB4	51666
	102724642
OLIG2	10215
HMGB3P21	
TBCK	93627
BNIP3P25	
MTCO1P8	
ANKRD55	79722
DDX43P3	
TMBIM7P	105375396
LINC00945	
OLIG1	116448
RBM48	84060
ARMC6	93436
LINC01548	
LINC01851	101927926
RACK1P2	
TFF3	7033
GCFC2	6936
RPS12P20	
BTF3P15	
DENND10	404636
POTED	317754
RPS4XP12	
PKNOX2-DT	103695364
TRPC7-AS1	100874024
EEF1A1P28	
CTNNA1P1	
MTERF1	7978
ARHGEF12	23365
OR7H2P	
PANX2	56666
SEMA6A-AS1	
PTCD2P1	
SETP1	
RNASE9	390443
GUSBP9	
THBS4-AS1	101929215
C1orf122	127687
NPTX2	4885
PPIC-AS1	
LINC01654	101927876
TRABD	80305
EPHA10	284656
UMODL1	89766
IFITM3P4	
BET1-AS1	
ERVW-1	30816
TEX47	219557
ZKSCAN1	7586
RNASE11-AS1	254028
OR6S1	341799
RNASE4	6038
PCCA-AS1	
CACUL1	143384
MIR17HG	407975
VENTXP2	
LINC00427	
LINC00543	100132234
ATP6V1G1P7	
LINC02341	105370177
EGILA	
RANBP20P	
TAC1	6863
FOXO1	2308
FHL3	2275
EDDM3DP	
EDDM3A	10876
EDDM3B	64184
ARF4P4	
STK24-AS1	
RNASE6	6039
FRAT2	23401
LINC00381	100874151
COG3	83548
RNASE1	6035
RPL19P16	
RAB11FIP2	22841
TRABD-AS1	
SELENOO-AS1	
TUBGCP6	85378
RNASE2	6036
ZNF209P	
RPS26P35	
PTCSC1	100302522
PREX2	80243
RN7SL189P	
BNIP3P32	
	101929718
BNIP3P23	
ZNF90	7643
SLC39A2	29986
RHBDL2	54933
SEC61G	23480
RPS8P4	
RPL12P26	
HMX3	340784
DUX4L24	
LDHAP5	
FAM53B	9679
MIR6717	102465428
TPPP2	122664
INPP5B	3633
LINC01798	
LINC02681	101927419
RPL26P29	
XIAPP1	
FAM24B	196792
IFT22	64792
CAPZBP1	
LINC01808	105373460
LINC02058	
LINC01309	
SRGNP1	
GAPDHP34	
CCT5P1	
RNASE13	440163
MTND6P18	
PRLHR	2834
RBX1P2	
LRCH1	23143
MARCHF3	115123
LINC01799	101060019
RNASE7	84659
BTBD16	118663
HDAC10	83933
DNAH6	1768
RNASE8	122665
ARHGEF40	55701
ZNF91	7644
RPL5P17	
FAM183A	440585
PSD2	84249
EEF1A1P9	
PAPSS1	9061
OAT	4942
ZMYM4	9202
BNIP3P36	
USP25	29761
CYP4F3	4051
MRPS17	51373
C12orf4	57102
RPL7AP40	
BASP1	10409
COLEC10	10584
CYCS	54205
COX20P1	
TRPC7-AS2	106478968
TOMM40P3	
RPL36AP31	
TMEM171	134285
CDK5P1	
MGMT	4255
CARS1P2	
SORL1-AS1	
MIR30DHG	
LINC02744	105369528
LINC00428	
TBC1D31	93594
LINC00363	
GPR180	160897
RPS26P43	
PGGT1B	5229
LINC02727	105369541
GUSB	2990
SFXN2	118980
PTMAP5	
TBRG1	84897
KRT18P27	
RPL21P112	
LINC01048	103695431
SCEL-AS1	104355296
COX5BP6	
LINC01038	102724076
NXT1P1	
LINC01218	
FTLP8	
CDADC1	81602
LINC02264	
SMAD5	4090
LAPTM4A	9741
UGT2B4	7363
ZDHHC4P1	
LINC00430	
LINC01080	
DDX6P2	
ABCC4	10257
IGKV2OR2-2	
RPL34P8	
LINC02972	
VN1R90P	
RPL37P12	
RAD54L2P1	
MEIS1	4211
SLC2A3	6515
MTG1	92170
COPS4	51138
GRM3-AS1	
ZNF219	51222
PEX1	5189
LINC01858	101929144
ZNF675	171392
GNAL	2774
RNF180	285671
UTP11	51118
FRMPD4-AS1	
RPL17P49	
RN7SKP290	
FRG2B	441581
PSMA6P2	
MRPL35P4	
TLR7	51284
DDA1	79016
KCNA5	3741
TLR8-AS1	
GZMA	3001
RBM22P6	
IKZF5	64376
OR7E149P	
XAGE1A	653220
XAGE1A	124908558
LINC02697	
GABARAPL1-AS1	
OR7E140P	
A2ML1-AS1	
CKAP2P1	
DDX12P	
KRTAP8-2P	
KRTAP8-3P	
KRTAP8-1	337879
RNU6-252P	
PGR-AS1	
OR5AU1	390445
KRTAP7-1	337878
ZCCHC10	54819
KRTAP11-1	337880
MTND4LP31	
COL25A1-DT	645078
ACTN4P2	
C1orf216	127703
LINC02503	
SORL1	6653
DYNLL1P6	
KRTAP19-8	728299
SMARCE1P3	
PGAM4P2	
UBE3AP2	
SHROOM3-AS1	
LINC00641	283624
TIAM1-AS1	150051
FBXW11P1	
SOD1-DT	
SHMT1P1	
RPL12P27	
SUPT16H	11198
WBP1L	54838
WBP1L	102724307
SOD1	6647
TM6SF2	53345
ACTL8	81569
DKK2	27123
PHB1P12	
RLF	6018
MFAP5	8076
RBM22P7	
	107985659
SSXP4	
SSXP1	
SSX7	280658
SLC25A18P1	
DUX4L28	
BCCIP	56647
MEIKIN	728637
RNA5SP504	
SSXP5	
S100A11P10	
S100A11P8	
SPANXN5	494197
BHMT	635
	124900469
KRCC1	51315
SUGP2	10147
HMGN1P2	
EIF4A2P4	
PPIHP2	
QTRT1P1	
DOP1B	9980
RNU1-57P	
RN7SL93P	
SNORD30	124900490
XACT	
CLSPN	63967
MIR766	768218
CBX1P4	
	124905270
MIR4768	100616249
	101928389
NHS-AS1	100873920
LINC01378	
GGCTP3	
CHP1P3	
FAM110C	642273
SCML1	6322
RPL22P11	
RPF2P1	
ARHGEF38	54848
LINC01964	100996478
OTX1	5013
CPNE1	8904
AIG1P1	
FTH1P9	
LINC02122	
LRRTM2	26045
FEM1C	56929
NTAN1P1	
INPP5A	3632
SNORD9	692053
LINC01230	
ANG	283
H3P29	
AK3	50808
	124902005
	101929577
ZFPM2	23414
EGFLAM-AS3	
BTC	685
WDR70	55100
UBXN2A	165324
HMGB3P26	
RPSAP5	
RPL10AP1	
TRMT61A-DT	
TRMT61A	115708
RNF138	51444
RNU7-160P	
BDH2	56898
RNU4-68P	
KLC1-AS1	
XRCC3	7517
FAM136GP	
F8A3	474384
PABPC1L2B	645974
RBMXL3	139804
SSX2B	727837
TCF7L1-IT1	100874334
GPR45	11250
RPSAP74	
LINC02237	105375706
LINC02237	105375707
MAL2-AS1	105375726
LINC02946	
PPP1R21-DT	
NKAIN1P2	
RNA5SP453	
	105373526
MEP1B	4225
BNIP3P35	
BNIP3P16	
DBF4P3	
LINC01608	101927459
LINC01885	105373538
BNIP3P8	
ALK	238
RPL34P33	
LINC01859	101929164
HMGB1P29	
	124901048
RCL1	10171
CDC42EP3P1	
RPL3P6	
DUX4L51	
IMPDH1P6	
LINC01299	
PAIP1	10605
SRSF9P1	
CLUHP6	
RPL7AP10	
ERVH48-1	90625
LOXHD1	125336
SDC2	6383
LIPI	149998
MEF2B	4207
MEF2B	100271849
LANCL3	347404
KRTAP10-9	386676
PRMT2	3275
TACR3-AS1	
FAM236A	100129407
HSFX4	101927685
ZNF275	10838
ZNF275	105373378
UGT8	7368
GMDS	2762
LINC01153	101927889
ZNF157	7712
CHST15	51363
MAGED1	9500
ADH1C	126
CLEC4E	26253
RPL23AP57	
PPIAP33	
GTF3AP1	
HNRNPA1P41	
CDC37L1	55664
MAPK12	6300
PKHD1L1	93035
DIS3	22894
HSPE1P12	
	124900347
LINC02300	
EIF4A1P12	
BTF3P2	
GAPDHP31	
FOXG1-AS1	
ACTN4P1	
LINC01365	101927007
RIMKLB	57494
TXNP1	
EXOC2	55770
ARL5AP2	
LINC02282	105370424
PRELID3BP11	
ZNF431	170959
VPS50	55610
GSTCD	79807
LINC02281	105370423
RPS29P33	
JKAMPP1	
PABPC1P11	
KLF4P1	
KIAA2026	158358
TACC2	10579
TGFB3	7043
ETV6	2120
RPS27AP14	
ERVK-28	
SUMO2P2	
BNIP3P33	
SLC1A1	6505
LINC02617	113523642
CLEC1A	51267
ILRUNP1	
BNIP3P20	
DUXAP1	
LINC01233	100128139
TGFB3-AS1	
RPL13P6	
LBHD2	107984640
TGFA	7039
VN1R91P	
LINC00677	105370683
BNIP3P29	
TNFAIP2	7127
ZNF98	148198
SNX24	28966
ZNF708	7562
LINC01394	
	101927950
FOXF2-DT	
A2ML1-AS2	
CLEC9A	283420
MRPS33P3	
HMGN2P28	
CXCL6	6372
BNIP3P22	
NDUFB4P11	
FAM50B	26240
ACRV1	56
PIMREGP2	
RPL21P12	
PLPP6	403313
BNIP3P40	
TRAM1L1	133022
GCSHP2	
RTTN	25914
CNTLN	54875
LINC00605	100131366
NDUFS5P5	
AFP	174
	105375814
RPL21P13	
EEF1E1	9521
RAP2CP1	
	100420587
GRHL2	79977
EIF5-DT	
SNORA28	677811
LINC02279	
MIR3173	100422981
CLMN	79789
BNIP3P38	
VWA3B	200403
ZNF730	100129543
GNL2	29889
ZNF849P	
IPO5P1	
HAPLN4	404037
LIX1	167410
RPL34P34	
DPY19L3-DT	400684
MTDHP3	
ARHGAP26-IT1	100874372
UQCRFS1-DT	105372352
SEPTIN14P6	
KRT18P59	
ZNF725P	
BLOC1S5	63915
ZNF728	388523
RPS27P20	
TRPC6P9	
SIAE	54414
ASS1P10	
AKAP8P1	
TRPC6P2	
FTH1P12	
PRDM6-AS1	
MAPK11	5600
IFNWP9	
TMEM215	401498
SLCO4C1	353189
VN1R83P	
LINC01532	
GJA4	2701
RANBP6	26953
SELENOTP1	
TUBAP8	
IFNA16	3449
DMRTA1	63951
BNIP3P37	
LINC02812	
RHPN1	114822
RPL36AP51	
HAUS6	54801
	124904023
RPL6P14	
FCF1P6	
	440519
LINC01108	102216342
MORN1	79906
ACTR3BP4	
FABP5P4	
LINC00351	100874137
LINC02336	
TSHZ3	57616
BRK1P2	
RPL5P20	
ARPC3P5	
ST8SIA4	7903
SETP20	
COG6	57511
OFCC1	
PPA2	27068
LINC02292	101929080
CEND1P1	
SLC27A1	376497
TMED7	51014
PLS1P1	
PPP1R1AP1	
PHB1P16	
LINC02280	101929634
TAF11L6	391747
TAF11L6	124906475
TAF11L6	124906476
TAF11L6	124906477
TAF11L6	124906478
TAF11L6	124906479
TAF11L6	124906480
TAF11L6	124906481
TAF11L6	124906482
TAF11L6	124906483
TAF11L6	124906484
TAF11L6	124906485
TAF11L6	124906486
TAF11L6	124906487
TAF11L6	124906488
TAF11L6	124906489
TAF11L6	124906490
TAF11L6	124906491
MIR4710	100616300
MINAR2	100127206
	101927141
SIVA1	10572
CRTAM	56253
PUDP	8226
LINC00251	552859
RPS14P8	
RPS12P10	
KRT8P4	
TUBBP10	
TTC22	55001
LACTB2	51110
RPL7L1P4	
ERAP2	64167
NALF2	27112
RPS4XP20	
ERG	2078
RPL6P1	
TEX13A	56157
ARC	23237
HSPA8	3312
SNRPEP2	
SMU1	55234
TIE1	7075
GDF3	9573
PDCD2L	84306
PNMA6A	84968
COL4A5	1287
RPL32P4	
ZBTB42	100128927
TRAM1	23471
RNU4-22P	
	124903568
GABARAPL1	23710
ZC3H14	79882
BCAR1P2	
C22orf39	128977
IGHD1OR15-1A	
FAM30C	
OR4N3BP	
IGHD5OR15-5A	
SPATA31E2P	
PWRN1	791114
PWRN1	101928840
PPIAP58	
LINC01533	100996665
LINC00383	
GPC5-AS1	100873969
MEDAG	84935
LINC01834	107985280
MEI1	150365
VN1R92P	
CHST8	64377
MTCO3P30	
LINC01242	
SRSF7	6432
LINC02938	
RPL3P11	
ECM1P1	
CLIC4P1	
LAGE3P1	
GARIN3P1	
LINC01047	105616982
ASS1P1	
SAMM50P1	
TMEM170B	100113407
RPL35AP20	
ACTG1P14	
LY6D	8581
COL4A2	1284
NBAT1	
PSIP1	11168
SLC24A3	57419
LNC-LBCS	100506885
	101927513
NCOA2	10499
ZNF723	646864
PSMC1P11	
LINC00581	100874531
OR11H3P	
JARID2-DT	
OR11J6P	
IGHD2OR15-2A	
SLC24A3-AS1	100130264
EEF1E1-BLOC1S5	
IGHV1OR15-1	
RPS8P10	
MYCBP	26292
KLRC4-KLRK1	
MAFB	9935
PPIAP29	
MRPL42P2	
RNA5SP484	
LINC00518	
ADI1P1	
LINC02346	100128714
LPIN3	64900
DLGAP3	58512
KDM1B	221656
LINC00997	
FAM30B	
MTCO3P8	
LINC02250	
DMKN	93099
SNRPCP9	
MOGAT3	346606
GOT2P1	
SREBF2-AS1	
SREBF2	6721
TMA16P2	
RIMS3	9783
OR4M2-OT1	
	124905511
KRTAP10-4	386672
TRPM2	7226
OR11K1BP	
RPL35AP16	
SNX2	6643
TG	7038
LINC00929	503519
ECHDC2	55268
LINC03017	101927378
CHD6	84181
ABT1	29777
	730338
BLOC1S5-TXNDC5	
IGHD5OR15-5B	
LINC01812	101927701
FAM177A1P1	
OR4N3P	390539
ARAFP3	
RPL5P1	
FKBP4P1	
HMGB3P11	
OR11J7P	
TUBB4BP5	
LINC01193	348120
LINC01193	124905510
LINC01193	124907497
TTC39CP1	
LDHAP7	
UBA6	55236
	124907878
VPS41	27072
SPTLC1P2	
PIP5K1P1	
BMP6	654
NEURL3	93082
LINC03032	
LINC00353	
LINC00382	101927195
LINC01079	
PEX12P1	
PRR20C	729240
FAM166C	339778
TXNDC5	81567
IGHV1OR15-3	
IGHV3OR15-7	
AMMECR1LP1	
LINC00433	
LINC02934	124906016
IGHV1OR15-6	
TCEAL4P1	
GAPDHP69	
SERPINB13	5275
GPC5-IT1	
NUS1P4	
SLITRK6	84189
IGHD2OR15-2B	
GPC5-AS2	
GRAMD4P5	
TET1P1	
IGKV1OR2-3	
	105370340
RPL27AP8	
MTCYBP39	
	105373553
EMX1	2016
PCDH9	5101
APTX	54840
KLRD1	3824
MPHOSPH10P4	
SERPINB4	6318
RPL12P11	
RNU6-1018P	
	124900463
SLPI	6590
GOLGA6L6	727832
LINC02039	102546228
BARX2	8538
SERPINE4P	
LONRF2P3	
	101928463
LINC02831	102724373
	101928651
ZNF322	79692
WFDC2	10406
MIR33A	407039
TNFRSF13C	115650
MIR378I	100616259
SELENOTP2	
CENPM	79019
SNHG14	
BASP1-AS1	
LINC00343	
CLMP	79827
RAB33A	9363
STK32A	202374
RCC2P8	
RPSAP35	
RBMXP4	
NDNF	79625
ZNF280C	55609
PPP1R21	129285
RPL5P2	
SPINT3	10816
ARMH2	101928603
EPPIN-WFDC6	100526773
RPL6P18	
RPL31P47	
VN1R13P	
HDGFL1	154150
CADM1-AS1	105369507
MIR5689HG	106660610
RPL23AP62	
RPL6P17	
FOXQ1	94234
STPG2	285555
FEZ1	9638
FEZ1	105369550
RAB3B	5865
RNF182	221687
HSPD1P21	
EPPIN	57119
LTV1P1	
KRT18P21	
SERPINB11	89778
CXXC4-AS1	101929468
SMIM12	113444
RNA5SP485	
HNRNPA1P3	
WBP2NL	164684
WFDC3	140686
MAGOHB	55110
PARM1-AS1	100507388
AK3P4	
RPL7AP36	
NT5C3AP1	
VTRNA2-1	
ARHGEF38-IT1	100874374
RPP40	10799
HSPD1P18	
LINC02064	
TMPRSS11CP	
IFITM3P1	
AIFM1	9131
	105378736
ETNPPL	64850
MRPS6P2	
TMEM61	199964
LINC00380	
DNAJC3	5611
LINC02057	105378992
DDX43P1	
SLC25A5P1	
NAGA	4668
CYP4A26P	
DDX55P1	
OR7E148P	
LINC02808	105378712
SUPT16HP1	
CTNNA1	1495
PLBD1-AS1	
SERPINB3	6317
LINC02778	
NIFKP3	
LINC01343	339442
SERPINA15P	
OLR1	4973
	105375759
CYCSP35	
FZD6	8323
ERI3	79033
NUS1P3	
NRAD1	121838
ANKIB1	54467
SPINT5P	
RNU6ATAC38P	
DNTTIP1	116092
LINC01049	
SLC17A6	57084
ZMYM5	9205
TDGF1P4	
LINC02543	
DEK	7913
SLC9B1	150159
TFPI2	7980
NALF1-IT1	
LINC00373	105370306
SOX1	6656
SBSPON	157869
TEX26	122046
IGSF5	150084
KIF18A	81930
ASXL3-DT	
TOP1MT	116447
DYNAPP2	
DYNAPP3	
DYNAP	284254
CLEC4D	338339
ELAPOR2	222223
PHETA2	150368
CZIB	54987
CALM2P4	
	102723360
	102724701
NOL4	8715
SNORD13P1	
CCDC134	79879
MYO16	23026
ANAPC1P5	
RSL24D1P2	
KRTCAP2P1	
FAM151A	338094
UBE2C	11065
TSGA10	80705
RNU7-167P	
RNU4-92P	
HMGXB4	10042
	124903356
MPPE1P1	
TTC8	123016
TENM4	26011
RPL7P40	
YBX3	8531
PODN	127435
B3GALT5	10317
LINC01436	
LINC01679	101928399
LINC01694	105372840
LINC00240	100133205
LINC00158	54072
B3GAT1-DT	
MIR548A1HG	
LINC01622	285768
TRPC6P5	
LINC01395	101929557
UBASH3B	84959
MIR155HG	114614
STMND1	401236
MIR3909	100500826
MIR6069	102464824
MCM5	4174
MCM3AP	8888
THAP12P5	
CDYL-AS1	101927913
LYRM4-AS1	100129461
RPS3AP43	
SKP1P2	
OSBPL9	114883
BTN2A1	11120
HAUS6P3	
TNNC2	7125
PCDH9-AS1	
RPL35P9	
COL4A1	1282
PPP1R9A	55607
EPB41L3	23136
BAK1P2	
PHB1P17	
PTPRO	5800
TNIP3	79931
TMEM225	338661
ZSWIM1	90204
LINC02706	
SNAP23P1	
CSE1L-DT	102723483
CSE1L	1434
STT3A	3703
INF2	64423
GML	2765
CCDC171	203238
NCRNA00250	552853
H2AZP7	
OR2E1P	
	105374989
JRK	8629
HIVEP1	3096
LYPD2	137797
HMOX1	3162
SH3RF3-AS1	
SEC24B	10427
CYCSP6	
CENPNP1	
SLURP2	432355
MTND1P29	
NPAS2-AS1	
RPL23AP27	
HPYR1	93668
VN1R12P	
ST6GAL2-IT1	
CYP11B2	1585
CENPNP2	
GFOD1	54438
MRPS9-AS1	101927492
LINC02661	
HABP2	3026
STAU1	6780
SAMD12-AS1	
NRSN1	140767
YBEY	54059
MED15P4	
	124902027
ZNHIT1P1	
RSPO2	340419
UHRF2	115426
GUCD1	83606
MFSD9	84804
RPS27P18	
KCNK18	338567
NKX1-2	390010
RBM27	54439
JARID2	3720
LHPP	64077
RHPN1-AS1	78998
ST13P6	
MROH4P	
	101927798
LINC00536	100859921
LINC01591	286094
DHX32	55760
MRPL35P1	
MTCO2P33	
POM121L6P	
TSNARE1	203062
SLC5A7	60482
C21orf58	54058
SNX18	112574
SC5D	6309
HNRNPA3P7	
THG1L	54974
IL1B	3553
HMGB3P23	
RPS3AP54	
TEX36-AS1	100169752
	100506422
SH3GL2	6456
HTRA1	5654
CACNG2	10369
LINC02103	
AP1S2P1	
RPS3AP26	
MTCO1P24	
SLC5A4	6527
PON3	5446
PELO	53918
HNRNPA1P37	
OR2W1-AS1	
SLURP1	57152
SPATA19	219938
ATP5PDP3	
PANK3	79646
NOP56P2	
IFNA7	3444
RPS26P2	
CHCHD4P3	
ST3GAL1	6482
LURAP1L	286343
LARGE1	9215
LINC01627	
LINC01400	
HMGN2P16	
LINC02851	105375968
LINC02873	283171
EDN1	1906
NFIB-AS1	
JAKMIP2	9832
RNF2P1	
KIRREL3	84623
BOLA3P4	
ASS1P12	
SLC4A1APP1	
KCTD9P3	
RBPJP6	
NFX1	4799
PCNAP1	
RPF2P2	
UGT2B25P	
FARP1-AS1	
SOX1-OT	100505996
ARPC3P1	
LINC02601	105373185
SERPINE1	5054
ADCY8	114
RNA5SP502	
SHISA5P1	
SLCO4A1	28231
RN7SL15P	
GEMIN7P1	
RPL29P29	
RPL18AP2	
CASK-AS1	
	105370315
MTND5P2	
RNU6-1321P	
IGHD4OR15-4B	
RPL7AP61	
YWHAZP10	
RN7SL144P	
BMS1P16	
DIP2A	23181
GPR82	27197
DPPA3P3	
TSC22D1-AS1	641467
E2F3-IT1	100874268
AKR1B1P4	
LINC00379	
MKI67	4288
RPS15AP39	
THBS1-AS1	
MRPL48P1	
IRS2	8660
RNU6-202P	
RBM24	221662
NF1P2	
MTND1P2	
FABP5P15	
RNU6-854P	
RN7SL460P	
LINC00347	
VSTM2A-OT1	285878
COX7B	1349
HINT1P2	
STEAP2-AS1	100874100
LINC01067	
SEC31A	22872
LINC00567	283486
PON1	5444
IGHV1OR15-9	
	105370783
SSXP9	
S100A11P9	
BMPR1AP2	
SSX3	10214
EI24	9538
TUBAP11	
CLDN10	9071
IGHD3OR15-3A	
ZFYVE19	84936
KRT18P38	
SLCO4A1-AS2	
DDX18P3	
SLCO4A1-AS1	100127888
SSR1	6745
SUCLG1	8802
	101927822
LINC00686	
NTSR1	4923
	124902026
MTND2P7	
GYG1P2	
HGF	3082
PPIAP24	
LYNX1	66004
RIOK3P1	
LINC00348	100885781
MRGBP	55257
SSX4	6759
	105378473
PDZD8	118987
OGFR	11054
STOML3	161003
	105376030
DIPK1C	125704
DUX4L14	
FAM24A	118670
LINC02964	
TEX36	387718
FTLP4	
TIMM21	29090
LYNX1-SLURP2	111188157
	101927042
FTSJ1	24140
ATP5F1AP1	
MTCYBP3	
FAM74A6	653123
ARHGAP8	23779
ANKRD10	55608
ZHX2	22882
ELAVL2	1993
COL9A3	1299
LINC02674	
AHCYP3	
TCERG1L-AS1	101927489
ZFAT-AS1	594840
RPS12P4	
NMS	129521
EEF1AKMT2	399818
RN7SL551P	
C18orf63	644041
LINC00370	
MAPK6P1	
	124903183
PCDH8P1	
LINC01868	
IGSF3P2	
FER1L6-AS2	157376
LINC00564	100861546
PPIAP63	
	105375747
LINC00399	104326054
LINC00566	100861547
FAUP1	
RPL7	6129
CYB5A	1528
CLDN10-AS1	100874194
SSR1P2	
RPL7L1P1	
	105373525
NALF1	728215
RPL7P45	
EML4	27436
PORCN-DT	101927635
TM9SF3	56889
EBP	10682
LHFPL2	10184
FOXF2	2295
PTGER4P2	
TMEM252-DT	
ZBED9-AS1	
RBM17P2	
LINC00375	104355140
GCH1	2643
PCCA	5095
PTGER4P3	
UQCRFS1P3	
SOX4	6659
PWRN2	791115
FAM74A4	401508
LINC02533	
GRHPR	9380
CDKAL1	54901
ATP10A-DT	
GOLGA8CP	729786
STK10	6793
DTNA	1837
MTCO1P49	
CPQ	10404
RNU6-800P	
ASB9	140462
IGHD1OR15-1B	
ANP32AP1	723972
LINC02522	
BMF	90427
DCDC2	51473
RPL23AP39	
ID4	3400
ASB11	140456
CHL1-AS1	101927193
RAB40C	57799
ZNF770	54989
BOLA2P3	
WNT7A	7476
DERL1	79139
LINC02895	
KIF13A	63971
LINC02853	100507480
GCATP1	
SLC20A1P3	
HSPE1P2	
THBS1	7057
PCBD2	84105
RNU6-597P	
RNU6-1162P	
APOBEC3H	164668
MIR548H1	100313830
TCFL5	10732
LINC00523	283601
CHL1	10752
DLK1	8788
ACSL6-AS1	101927693
MTMR12	54545
PIGA	5277
CNTNAP3P2	
DPH3P1	
ARF4P2	
DIDO1	11083
ZDHHC16	84287
AQR	9716
NHLRC4	283948
ANAPC1P6	
LINC01593	107178918
MTND4P26	
LINC01956	
C4orf46P1	
WFIKKN1	117166
PGM5P4	
MTND2P21	
TRPM6	140803
LINC01955	
RPL22P8	
DNAJB6P1	
LINC02717	
SMC3P1	
SH3RF3	344558
PHKG1P1	
PPP1R10P1	
LINC02725	
MTATP6P18	
ZNRF2	223082
KNOP1P3	
	403312
CIAO1	9391
FAM234A	83986
LL22NC01-81G9.3	100506241
APOBEC1	339
TEX33	339669
FAM118B	79607
DIP2A-IT1	100862692
DYNLL1P7	
RNU6-396P	
DGAT2L7P	
MTND2P4	
MEG3	55384
	124902013
NCOR1P3	
MTFR1	9650
FAM133B	257415
PHB1P3	
C1orf210	149466
MPST	4357
CLEC7A	64581
PARS2	25973
TMEM182	130827
LINC00676	101409253
LINC00397	
ZYG11A	440590
VEGFD	2277
CLCN4	1183
TPST1	8460
HNRNPA1P12	
RPL35AP17	
DPYSL3	1809
HSPA12B	116835
ZNF519P3	
ZYG11B	79699
RNU6-900P	
GJD2	57369
C22orf23	84645
	101927383
ASNS	440
HK2-DT	
GALM	130589
LINC01755	105378738
CZIB-DT	
ST3GAL3-AS1	101929592
C20orf27	54976
L1TD1	54596
POLR2F	5435
BSX	390259
KNOP1P5	
SEPTIN10P1	
LINC02743	646522
LINC02551	
TXNDC12	51060
LYPD1	116372
GLULP3	
CSMD3	114788
LINC02684	
LINC02712	101929497
PANX3	116337
LSM11	134353
RPS14P5	
DRD2	1813
LINC01252	338817
BBIP1P1	
DUSP2	1844
EFCAB9	285588
AFF4	27125
TXNDC12-AS1	104355143
SF3A3	10946
ACTR3BP2	
ACTR3	10096
SPEF1	25876
OTUD4P1	
HNRNPABP1	
ACTG1P10	
MIR6895	102465539
MIR6894	102466759
LINC00937	389634
KDM5C-IT1	
MIR6820	102465492
RPSAP62	
MIR4534	100616146
OR1Q1BP	
ZNF519P2	
MPV17L2P1	
MIR6857	102465516
EIF2AK4	440275
RIBC1	158787
PICK1	9463
CIAO2AP1	
RPSAP51	
RPL31P20	
CENPB	1059
LMCD1-AS1	101927394
PRB2	653247
LINC01730	
AP5S1	55317
MTND5P28	
SRMP3	
FAM138B	654412
FAM138B	124906933
LINC02598	
DYNC1LI1	51143
A2ML1	144568
TIPINP1	
VTRNA3-1P	
EEDP1	
U7	124905265
RPS17P17	
SOX3	6658
DUSP9	1852
FGGY-DT	729467
MAVS	57506
DPP10-AS2	
IGKV1OR2-1	
DDX18	8886
DOCK7-DT	
RPL18AP16	
RN7SL687P	
LAMTOR5P1	
ATP5F1AP10	
FKBP4P7	
MTCO2P34	
LINC01685	
PNCK	139728
ELOCP22	
OR2AT4	341152
PAX5	5079
PIGQP1	
TTC4	7268
MIR103A2	406896
MIR103B2	100302282
NORAD	647979
RPL21P107	
HMGN1P24	
KLF17	128209
HMGB3P2	
EPB41L1	2036
PEG10	23089
SMYD1	150572
